place_id,lat,lon
BikePoints_259,51.49096,-0.153233
BikePoints_242,51.522007,-0.151359
BikePoints_384,51.496483,-0.192404
BikePoints_673,51.46517,-0.180389
BikePoints_335,51.511967,-0.120718
BikePoints_317,51.49679,-0.093913
BikePoints_515,51.500088,-0.211316
BikePoints_355,51.461388,-0.139221
BikePoints_394,51.524826,-0.176268
BikePoints_203,51.51822,-0.100791
BikePoints_111,51.510017,-0.157275
BikePoints_745,51.47817,-0.182435
BikePoints_830,51.4692,-0.119022
BikePoints_379,51.514313,-0.200838
BikePoints_67,51.518826,-0.108028
BikePoints_459,51.53518,-0.03338
BikePoints_44,51.510735,-0.144165
BikePoints_628,51.46882,-0.184318
BikePoints_755,51.485123,-0.174971
BikePoints_556,51.502663,-0.021596
BikePoints_595,51.493267,-0.21985
BikePoints_637,51.45787,-0.174691
BikePoints_573,51.485588,-0.18119
BikePoints_629,51.459953,-0.190184
BikePoints_667,51.501595,-0.222293
BikePoints_805,51.520508,-0.200804
BikePoints_283,51.51441,-0.118478
BikePoints_431,51.534473,-0.122203
BikePoints_634,51.494347,-0.215804
BikePoints_663,51.51323,-0.211593
BikePoints_736,51.50659,-0.216104
BikePoints_650,51.51687,-0.213872
BikePoints_801,51.505222,-0.098031
BikePoints_614,51.54119,-0.058826
BikePoints_49,51.50707,-0.145904
BikePoints_539,51.53109,-0.075901
BikePoints_476,51.489098,-0.009205
BikePoints_85,51.50065,-0.0786
BikePoints_152,51.49217,-0.101536
BikePoints_554,51.51355,-0.005659
BikePoints_312,51.530888,-0.17677
BikePoints_514,51.516205,-0.155525
BikePoints_562,51.51742,-0.123189
BikePoints_599,51.485744,-0.223616
BikePoints_706,51.50215,-0.083632
BikePoints_70,51.53136,-0.117069
BikePoints_704,51.45682,-0.202802
BikePoints_127,51.51701,-0.093885
BikePoints_226,51.508446,-0.131961
BikePoints_396,51.51809,-0.163609
BikePoints_222,51.502758,-0.155349
BikePoints_860,51.483147,-0.113134
BikePoints_804,51.534668,-0.125078
BikePoints_506,51.517475,-0.075855
BikePoints_652,51.511486,-0.21819
BikePoints_616,51.48102,-0.209973
BikePoints_105,51.51553,-0.19024
BikePoints_175,51.521667,-0.079608
BikePoints_104,51.511593,-0.077121
BikePoints_430,51.48902,-0.17524
BikePoints_321,51.497856,-0.081608
BikePoints_774,51.47013,-0.20464
BikePoints_359,51.49783,-0.13544
BikePoints_630,51.470734,-0.126994
BikePoints_836,51.541595,-0.125441
BikePoints_75,51.5322,-0.10548
BikePoints_114,51.524517,-0.158963
BikePoints_455,51.49447,-0.014409
BikePoints_806,51.53724,-0.124807
BikePoints_277,51.50316,-0.191496
BikePoints_255,51.525574,-0.179592
BikePoints_685,51.46067,-0.198735
BikePoints_747,51.487965,-0.161765
BikePoints_661,51.51632,-0.202608
BikePoints_511,51.511066,-0.053558
BikePoints_352,51.486965,-0.116625
BikePoints_686,51.488144,-0.222456
BikePoints_148,51.49211,-0.138364
BikePoints_360,51.496754,-0.138733
BikePoints_146,51.488365,-0.129361
BikePoints_14,51.52994,-0.123616
BikePoints_701,51.472878,-0.176267
BikePoints_672,51.502697,-0.116747
BikePoints_779,51.51445,-0.077178
BikePoints_845,51.497993,-0.063471
BikePoints_224,51.51031,-0.187402
BikePoints_635,51.48606,-0.214428
BikePoints_757,51.487957,-0.187404
BikePoints_657,51.49968,-0.221791
BikePoints_149,51.484787,-0.110683
BikePoints_87,51.516468,-0.079684
BikePoints_440,51.483147,-0.113134
BikePoints_480,51.51287,-0.038986
BikePoints_210,51.516815,-0.151926
BikePoints_646,51.498863,-0.137424
BikePoints_597,51.473473,-0.20782
BikePoints_116,51.5145,-0.141423
BikePoints_615,51.476887,-0.215895
BikePoints_98,51.525543,-0.138231
BikePoints_56,51.520584,-0.154701
BikePoints_531,51.530327,-0.042744
BikePoints_692,51.542118,-0.028941
BikePoints_819,51.50621,-0.114842
BikePoints_31,51.529537,-0.083353
BikePoints_361,51.503918,-0.113426
BikePoints_785,51.54094,-0.01051
BikePoints_644,51.48373,-0.223852
BikePoints_519,51.51881,-0.011662
BikePoints_136,51.511963,-0.097441
BikePoints_558,51.493977,-0.127554
BikePoints_818,51.501514,-0.123823
BikePoints_707,51.490215,-0.215087
BikePoints_271,51.535835,-0.156285
BikePoints_467,51.523537,-0.030556
BikePoints_444,51.52568,-0.055312
BikePoints_336,51.504944,-0.115533
BikePoints_826,51.496864,-0.142943
BikePoints_287,51.523674,-0.128377
BikePoints_654,51.482677,-0.117661
BikePoints_782,51.48391,-0.197609
BikePoints_24,51.51908,-0.124678
BikePoints_535,51.53735,-0.147154
BikePoints_176,51.517918,-0.188098
BikePoints_303,51.502953,-0.158456
BikePoints_158,51.490852,-0.19617
BikePoints_682,51.48811,-0.226606
BikePoints_829,51.469215,-0.112686
BikePoints_494,51.50196,-0.016251
BikePoints_461,51.516,-0.038775
BikePoints_45,51.52251,-0.162298
BikePoints_772,51.472507,-0.122831
BikePoints_536,51.53385,-0.06992
BikePoints_765,51.4676,-0.206827
BikePoints_160,51.506634,-0.131773
BikePoints_528,51.507324,-0.145827
BikePoints_828,51.473873,-0.11258
BikePoints_610,51.482567,-0.172078
BikePoints_117,51.49288,-0.114934
BikePoints_617,51.47108,-0.207842
BikePoints_669,51.47615,-0.123258
BikePoints_604,51.53879,-0.138535
BikePoints_79,51.511726,-0.113855
BikePoints_354,51.506767,-0.123702
BikePoints_443,51.515255,-0.058641
BikePoints_671,51.47509,-0.201968
BikePoints_275,51.520042,-0.092176
BikePoints_164,51.515606,-0.183118
BikePoints_120,51.515736,-0.09308
BikePoints_382,51.50935,-0.147449
BikePoints_649,51.481804,-0.180274
BikePoints_357,51.520992,-0.139016
BikePoints_37,51.491592,-0.192369
BikePoints_399,51.522617,-0.071653
BikePoints_569,51.53213,-0.08299
BikePoints_273,51.506134,-0.114686
